"SEQN","RIDAGEYR","INDFMPIR","DMDEDUC2","DMDMARTL","RIAGENDR","RIDRETH1"
31621,5,2.89,NA,NA,2,1
31622,71,3.03,3,1,2,4
31623,10,1.75,NA,NA,2,2
31624,4,4.17,NA,NA,1,3
31625,63,1.74,1,1,1,1
31626,2,3.87,NA,NA,2,4
31627,19,1.99,NA,5,1,3
31628,1,4.87,NA,NA,1,3
31629,19,0.84,NA,5,1,3
31630,33,5,5,1,2,5
31631,8,NA,NA,NA,2,1
31632,2,0.37,NA,NA,2,5
31633,85,2.2,2,2,2,3
31634,67,NA,1,2,1,1
31635,27,0.84,1,1,2,1
31636,72,2.42,1,2,2,4
31637,13,5,NA,NA,1,3
31638,22,4.56,5,5,2,3
31639,22,0.75,2,5,2,1
31640,44,0.6,2,6,2,1
31641,17,1.87,NA,5,2,4
31642,2,1.43,NA,NA,2,5
31643,16,2.05,NA,5,2,4
31644,1,NA,NA,NA,1,1
31645,12,1.5,NA,NA,2,4
31646,17,1.28,NA,5,1,1
31647,7,0.6,NA,NA,1,4
31648,0,2.13,NA,NA,2,1
31649,47,1.82,5,1,1,3
31650,16,0.56,NA,5,2,1
31651,17,NA,NA,5,2,1
31652,23,5,4,1,2,3
31653,16,1.18,NA,5,2,3
31654,11,3.09,NA,NA,2,3
31655,6,5,NA,NA,1,1
31656,3,0.39,NA,NA,2,2
31657,73,1.4,1,1,1,4
31658,46,3.57,4,6,2,4
31659,0,0.78,NA,NA,1,3
31660,10,1.7,NA,NA,2,1
31661,48,2.49,5,6,1,4
31662,44,0.98,3,4,2,1
31663,76,2.27,3,1,1,3
31664,12,4.85,NA,NA,1,3
31665,13,1.62,NA,NA,2,3
31666,39,0.04,3,5,1,4
31667,1,1.14,NA,NA,2,5
31668,85,1.53,4,2,2,3
31669,25,1.49,3,1,2,1
31670,7,0.39,NA,NA,1,4
31671,11,0.4,NA,NA,1,1
31672,17,NA,NA,5,2,1
31673,3,1.68,NA,NA,1,1
31674,28,3.72,4,1,2,3
31675,15,1.74,NA,5,1,3
31676,2,1.29,NA,NA,2,2
31677,14,1.62,NA,5,1,4
31678,2,2.75,NA,NA,1,1
31679,36,1.39,4,1,1,3
31680,24,0.53,2,6,2,1
31681,22,3.66,3,5,1,4
31682,13,NA,NA,NA,2,4
31683,4,3.25,NA,NA,2,3
31684,6,2.47,NA,NA,2,3
31685,14,5,NA,5,1,3
31686,17,0.22,NA,5,1,1
31687,6,2.71,NA,NA,2,4
31688,3,0.38,NA,NA,1,4
31689,16,0.29,NA,5,1,4
31690,38,5,4,1,2,3
31691,52,3.62,5,3,1,4
31692,14,5,NA,5,1,3
31693,0,3,NA,NA,2,3
31694,14,3.54,NA,5,2,3
31695,8,0.97,NA,NA,2,1
31696,1,3.36,NA,NA,2,1
31697,3,NA,NA,NA,2,1
31698,14,4.55,NA,5,1,4
31699,31,2.65,4,1,1,4
31700,36,0.85,3,6,2,1
31701,11,1.5,NA,NA,2,4
31702,22,1.46,4,5,1,5
31703,44,2,5,1,1,4
31704,19,0.89,NA,5,1,1
31705,2,0.6,NA,NA,2,1
31706,45,5,5,1,2,3
31707,75,2.92,3,1,2,3
31708,29,0.73,2,1,2,1
31709,39,3.62,3,1,1,3
31710,42,2.83,4,1,1,3
31711,23,1.09,3,1,2,4
31712,31,1.49,2,5,2,4
31713,9,5,NA,NA,1,4
31714,21,1.19,2,6,1,1
31715,0,1.99,NA,NA,2,4
31716,1,1.09,NA,NA,1,3
31717,45,0.46,1,1,2,2
31718,18,1.11,NA,5,2,4
31719,10,0,NA,NA,1,5
31720,73,0.1,3,5,2,4
31721,62,3.37,4,2,1,4
31722,9,3.75,NA,NA,2,3
31723,18,0.68,NA,5,2,4
31724,37,5,5,1,2,5
31725,48,0.93,3,1,2,1
31726,2,5,NA,NA,2,3
31727,2,2.24,NA,NA,1,1
31728,7,0.93,NA,NA,2,1
31729,80,3.63,3,2,1,3
31730,11,1.55,NA,NA,2,4
31731,12,2.95,NA,NA,2,1
31732,53,5,3,1,1,4
31733,79,2.65,5,1,1,3
31734,64,5,4,3,1,1
31735,1,3.92,NA,NA,1,3
31736,79,2.24,1,2,1,4
31737,19,0.45,NA,5,2,1
31738,4,0.39,NA,NA,2,1
31739,27,1.5,4,1,1,3
31740,28,5,5,1,2,5
31741,75,1.71,4,1,1,4
31742,25,1.82,4,5,2,3
31743,8,3.1,NA,NA,1,1
31744,65,3.41,2,1,2,3
31745,14,0.39,NA,5,1,4
31746,77,1,1,2,2,3
31747,37,5,5,1,1,3
31748,50,0.5,4,1,1,3
31749,14,NA,NA,5,1,3
31750,7,3.88,NA,NA,1,3
31751,25,0.72,3,5,2,3
31752,51,3.03,2,1,1,1
31753,8,2.8,NA,NA,2,1
31754,8,0.86,NA,NA,1,1
31755,47,1.18,1,1,1,2
31756,13,1.14,NA,NA,1,3
31757,27,3.92,3,1,1,3
31758,0,3.1,NA,NA,2,1
31759,0,0.82,NA,NA,2,1
31760,1,NA,NA,NA,2,3
31761,5,0.86,NA,NA,2,4
31762,70,0.62,1,2,2,1
31763,18,3.1,NA,5,1,1
31764,51,2.51,3,3,2,1
31765,70,5,4,1,1,3
31766,6,NA,NA,NA,2,1
31767,45,5,3,1,2,3
31768,13,1.77,NA,NA,1,1
31769,15,0.52,NA,5,1,4
31770,5,1,NA,NA,1,3
31771,32,1.16,2,1,1,1
31772,14,1.55,NA,5,2,4
31773,6,2.36,NA,NA,2,3
31774,5,2.25,NA,NA,1,4
31775,5,3.1,NA,NA,1,4
31776,6,4.17,NA,NA,1,3
31777,61,0.92,1,4,1,1
31778,41,NA,4,3,1,4
31779,55,0.12,1,6,1,1
31780,12,5,NA,NA,1,3
31781,58,1.45,4,1,2,4
31782,1,5,NA,NA,2,3
31783,4,0.51,NA,NA,2,1
31784,7,3.17,NA,NA,2,4
31785,83,5,4,2,2,3
31786,27,4.18,4,5,1,3
31787,58,1.04,4,5,1,3
31788,19,1.81,NA,6,2,1
31789,53,5,3,3,1,1
31790,18,0.75,NA,5,1,1
31791,12,2.35,NA,NA,1,4
31792,11,4,NA,NA,1,5
31793,27,0.93,1,5,2,1
31794,14,2.1,NA,5,2,4
31795,60,1.55,1,1,2,1
31796,60,3.63,2,1,1,4
31797,8,0.21,NA,NA,1,2
31798,1,0.75,NA,NA,1,3
31799,47,5,5,1,2,3
31800,60,5,3,3,2,3
31801,18,0.6,NA,5,2,5
31802,60,4.07,3,1,2,3
31803,0,1.04,NA,NA,1,1
31804,52,5,4,1,2,3
31805,20,NA,4,5,1,3
31806,19,1.57,NA,4,1,4
31807,57,5,5,3,2,2
31808,79,NA,5,1,1,3
31809,1,3.11,NA,NA,2,4
31810,4,NA,NA,NA,1,1
31811,10,1.31,NA,NA,2,3
31812,0,0.58,NA,NA,2,1
31813,47,0.39,4,3,2,1
31814,58,0.87,4,1,1,3
31815,1,4.66,NA,NA,2,3
31816,26,2.4,4,1,2,3
31817,6,3.85,NA,NA,1,1
31818,4,1.05,NA,NA,2,3
31819,16,1.12,NA,5,1,1
31820,58,2.36,2,5,1,1
31821,25,2.8,4,1,2,3
31822,28,5,4,1,2,3
31823,14,1.03,NA,5,1,4
31824,22,0.78,4,1,2,3
31825,4,1.7,NA,NA,2,5
31826,2,1.16,NA,NA,2,1
31827,46,1.46,2,5,2,4
31828,7,0.44,NA,NA,2,1
31829,4,NA,NA,NA,2,4
31830,62,0.94,3,1,2,1
31831,46,4.26,3,1,1,3
31832,5,2.14,NA,NA,2,1
31833,41,1.33,1,1,1,1
31834,1,2.65,NA,NA,1,3
31835,9,1.2,NA,NA,1,4
31836,7,0.77,NA,NA,2,1
31837,24,0.9,2,1,2,1
31838,12,2.25,NA,NA,1,1
31839,23,NA,3,5,2,1
31840,19,0.81,NA,5,1,3
31841,2,0.05,NA,NA,1,3
31842,6,5,NA,NA,2,3
31843,54,5,4,1,2,4
31844,13,5,NA,NA,1,4
31845,15,2.21,NA,5,2,4
31846,80,2.96,4,1,1,3
31847,35,3.26,4,1,2,3
31848,16,5,NA,5,1,3
31849,9,4.16,NA,NA,2,3
31850,18,1.16,NA,6,1,5
31851,3,0.64,NA,NA,1,1
31852,20,0.8,3,6,2,1
31853,16,5,NA,5,1,3
31854,6,2.8,NA,NA,1,1
31855,12,0.6,NA,NA,2,1
31856,5,4.1,NA,NA,2,3
31857,74,5,4,2,2,3
31858,37,1.82,3,1,1,4
31859,46,5,4,1,2,3
31860,4,1.87,NA,NA,1,4
31861,22,5,5,6,2,5
31862,12,3.9,NA,NA,2,4
31863,29,5,4,2,2,4
31864,14,2.65,NA,5,2,4
31865,6,1.55,NA,NA,1,1
31866,10,1.19,NA,NA,2,4
31867,12,3.73,NA,NA,2,5
31868,22,3.64,4,5,1,4
31869,3,2.33,NA,NA,1,1
31870,21,2.27,4,1,2,3
31871,23,NA,2,1,2,1
31872,9,3.03,NA,NA,2,4
31873,32,3.27,3,6,1,4
31874,29,3.54,2,1,2,1
31875,1,1.43,NA,NA,2,3
31876,3,0.31,NA,NA,2,4
31877,62,2.72,4,3,1,4
31878,55,5,4,1,1,1
31879,10,3.25,NA,NA,2,5
31880,16,0.5,NA,5,2,1
31881,5,2.8,NA,NA,1,3
31882,16,1.82,NA,5,1,3
31883,1,5,NA,NA,2,3
31884,15,1.71,NA,5,1,3
31885,6,3.73,NA,NA,2,3
31886,13,5,NA,NA,2,3
31887,5,4.42,NA,NA,2,4
31888,22,1.6,3,5,1,4
31889,14,1.11,NA,5,2,2
31890,11,3.26,NA,NA,1,3
31891,2,0.49,NA,NA,2,1
31892,18,2.8,NA,5,2,1
31893,81,3.12,4,1,2,3
31894,61,1.15,4,1,2,1
31895,74,5,5,1,1,3
31896,10,1.71,NA,NA,1,4
31897,79,2.27,4,1,1,3
31898,73,3.12,5,2,1,3
31899,40,0.41,1,1,1,3
31900,3,NA,NA,NA,2,4
31901,3,1.87,NA,NA,2,4
31902,33,5,5,1,2,3
31903,73,5,5,1,2,3
31904,3,1.68,NA,NA,1,1
31905,16,3.21,NA,5,2,3
31906,0,0.39,NA,NA,2,4
31907,15,2.48,NA,5,2,1
